,Node,Line node,Stance action,Tag,Running cost,Annotation,Motif,Time,Beat,Line,Line with active holds,Twist angle,BPM,Left foot hint,Right foot hint,Left foot,Right foot,Left hand,Right hand,Cost,foot_inversion,angle,hand_inversion,foot_position,hold_footslide,hold_footswitch,move,jump,bracket,hands,move_without_action,downpress,double_step,min_cost,multihit,double_step_in_multi,bracket_for_1panel,hold_alternate,Time since,Beat since,Time since downpress,Beat since downpress,Has downpress,Notes per second since downpress,Has downpress adj.,Body angle,Hold,Hold taps,Splits,Jump,Bracket,Double step,Twist angle,Footswitch,Jack,Bracket footswitch,Hold tap single foot,Hold footslide,Hold footswitch,Staggered hit,Hands,Travel (mm),Drill,Run,Hold run,Bracket drill,Irregular rhythm,Rhythm change,Bracket jump run,Side3 singles,Mid4 doubles,Mid6 doubles,Run with brackets,Jump run,"Stairs, doubles","Stairs, singles","Broken stairs, doubles",Spin,Twist solo diagonal
20,"35.0:p1`47,p1`69c;-1,--:any-any-any",35,"p1`47,p1`69c;-1,--",any-any-any,20.6,alternate,,11.05263158,35,`0100000000,`0100000000,none,190,1,,1,,,,0.05,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,0.718726558,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,"35.5:p1`47,p1`69c;--,-1:any-any-any",35.5,"p1`47,p1`69c;--,-1",any-any-any,20.65,alternate,,11.21052632,35.5,`0001000000,`0001000000,none,190,,1,,1,,,0.05,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,0.718726558,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,"36.0:p1`a1,p1`69c;-1,--:any-any-any",36,"p1`a1,p1`69c;-1,--",any-any-any,21.03,alternate,,11.36842105,36,`1000000000,`1000000000,none,190,1,,1,,,,0.38,0,0,0,0.01,0,0,0.120624269,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,14.95386348,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,283.0417869,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,"36.5:p1`a1,p1`56;--,1-:any-any-any",36.5,"p1`a1,p1`56;--,1-",any-any-any,21.97,alternate,,11.52631579,36.5,`0010000000,`0010000000,none,190,,1,,1,,,0.94,0,0,0,0.01,0,0,0.680927018,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,16.48031153,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,478.5318556,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,"37.0:p1`a3,p1`56;-1,--:any-any-any",37,"p1`a3,p1`56;-1,--",any-any-any,25.52,alternate,,11.68421053,37,`0000100000,`0000100000,close diagonal,190,1,,1,,,,3.55,1.5,0,0,0.01,0,0,1.785918825,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,114.3764686,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,close diagonal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,736,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
25,"37.5:p1`a3,p1`56;--,1-:any-any-any",37.5,"p1`a3,p1`56;--,1-",any-any-any,27.08,alternate,,11.84210526,37.5,`0010000000,`0010000000,close diagonal,190,,1,,1,,,1.56,1.5,0,0,0.01,0,0,-0.2,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,114.3764686,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,close diagonal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
26,"40.0:p2`a7c,p1`56;-1,--:any-any-any",40,"p2`a7c,p1`56;-1,--",any-any-any,31.47,,,12.63157895,40,`0000001000,`0000001000,far diagonal,190,1,,1,,,,4.39,2.25,0,0,0.01,0,0,1.877533385,0,0,0,0,0,0,0.25,0,0,0,0,0.789473684,2.5,0.789473684,2.5,TRUE,1.266666667,TRUE,199.6692677,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,far diagonal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,760.9599201,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
27,"40.5:p2`a7c,p2`69;--,-1:any-any-any",40.5,"p2`a7c,p2`69;--,-1",any-any-any,38.23,alternate,,12.78947368,40.5,`0000000010,`0000000010,none,190,,1,,1,,,6.76,0,0,0,0.01,0,0,6.496256882,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,351.9441837,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1841.768472,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,"41.0:p2`a7c,p2`69;-1,--:any-any-any",41,"p2`a7c,p2`69;-1,--",any-any-any,38.29,alternate,,12.94736842,41,`0000001000,`0000001000,none,190,1,,1,,,,0.06,0,0,0,0.01,0,0,-0.2,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,351.9441837,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,"41.5:p2`a7c,p2`69;--,-1:any-any-any",41.5,"p2`a7c,p2`69;--,-1",any-any-any,38.35,alternate,,13.10526316,41.5,`0000000010,`0000000010,none,190,,1,,1,,,0.06,0,0,0,0.01,0,0,-0.2,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,351.9441837,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
